853244170	701455735	940582864	398407529	926401267	959244867	990306675	780534328	403888747	358343650
80393910	735780079	581993780	466104160	243486963	133875888	675177387	219795460	512438682	731518850
229200521	558928716	107310321	163301425	217222590	721082101	702100942	828568956	616063002	187765320
673812586	767221063	812992519	521140745	330887266	731809272	148037875	814278744	276862569	645207755
803424737	994293194	588504666	151945521	891833	343054996	349593642	813479180	566832420	606709071
385339220	876189387	621525758	285000918	921225658	23704343	588518910	423089506	421970495	457716445
755354319	585955668	628011686	382353795	315465691	588299606	124262001	841829832	728899506	995380336
243989642	4979058	159802963	88303685	73954518	838717182	110445484	370926227	490412077	17902695
882747074	693246060	897121009	56958831	407468658	184704544	329463191	145347857	657707656	195593059
884585076	160174830	591848041	247658968	870489567	927620456	519553836	567021760	101589281	635879308
629157066	482077307	495732064	139487252	153707366	169877430	313337506	476986442	35155354	467002394
12557353	756657234	598200217	303311068	978588541	818066406	557048449	585281391	833489209	141216993
493685734	2872427	130001358	651978371	976798002	680244690	177131670	417435126	234655514	591956378
222227506	290602301	619656489	852782578	711325934	923770202	552208605	671458550	751277793	279477043
252664607	610068952	76201232	774760885	708873754	153654321	748816100	626189300	231209589	839475788
352763525	834173315	326841059	177495870	131513156	189361128	286938941	370408586	759180431	535686523
204447857	938648672	784616435	692949867	965439922	460121121	133029138	405067221	475493327	244766894
949296777	545968439	524672175	486038194	217917005	549572186	353727149	663565760	626030829	825499796
205320352	745665709	407232175	8772287	266145792	800200248	959929199	225768603	863118989	371514762
971653944	43719555	119410707	595395706	482392770	563605439	456343176	412549434	56289220	775204621
697552818	667402804	904456285	466685617	460365034	375091090	246163265	826465402	505103545	415781851
173031727	416545401	198488488	163015799	927522292	731316627	794535630	617686358	802536052	865013476
92903369	748952149	557504343	49044027	157885118	426960811	466957228	979323760	900153817	425698793
188183389	683404097	318463818	561323396	102643675	449826666	26541047	353500802	512253397	899400115
604521518	964791657	148357031	250578912	614625607	997840998	561003298	72401616	120631682	729927635
939852238	562683477	305773763	143591997	33918100	690293574	19509044	837914348	594075674	379103045
483305276	117183864	734595181	581758738	140479552	130022319	395247241	605502721	615790852	604747917
170014731	316593982	322590746	485712135	779092458	781221213	756467572	780824608	784840053	802673121
141597800	321573984	472535983	70303572	672388488	689014940	887566475	138893381	156443371	590454142
575873815	425255051	502795565	958899915	170019558	690991532	814710677	508469230	603372327	961212844
29262765	147776458	415392136	443687231	45469710	395722964	329728799	816347684	662500786	898459766
371739649	659604977	729652184	868586082	695632722	623539650	453330370	730930106	927273756	451544947
959251484	194072563	819431652	575878328	846146974	190152837	504651149	811410224	209379676	158346255
189563601	22806718	495072407	191157192	852334941	404588533	380354819	369126086	954758849	697459640
637328478	601122893	376826620	152292071	515555581	767745211	14979482	975872730	128064193	676728021
736824640	744847673	740312189	213016861	788998960	644384886	221623386	915138221	716161469	641270133
946662184	594103128	38559071	763162550	985240351	833606685	16171707	134638692	291716992	921209909
542197795	99449377	281161509	813090650	214387148	579686520	383124500	392077558	296172043	233670056
285237645	858167823	247523770	922017315	274586413	382844604	636729203	206233458	919359571	943001718
684680867	880044410	372023514	739740196	729411739	233958905	185766984	558585135	457068548	641015773
67622550	729885931	874453220	66554273	184032636	840620795	568624556	884135887	772506874	515192510
180700408	964349376	352891490	424901559	874294216	758231164	909554134	829917295	801917438	417955701
688836687	671922737	839225438	195543831	943750009	657020904	720440581	58058452	312482320	151475913
930549158	596216608	101991462	290645054	231577474	793908480	177961898	686451434	962043414	967571685
426984081	690695397	435586822	832052302	9363801	195159948	40256426	186607793	544289358	606851923
